School,brglm_cauchit_15,brglm_cauchit_15_rank,brglm_cauchit_inf,brglm_cauchit_inf_rank,glm_cauchit,glm_cauchit_rank,brglm_cauchit,brglm_cauchit_rank,NET
ABILENE CHR.,-0.927741896,223,-0.925109526,223,-0.831884983,224,-0.945217665,223,194
AIR FORCE,-0.756750508,217,-0.752972054,217,-0.640524592,216,-0.789071001,217,220
AKRON,1.678105839,96,1.683747597,96,1.826014532,98,1.621782182,95,73
ALABAMA,2.261428891,75,2.270042308,75,2.465868575,75,2.167920907,75,55
ALABAMA A&M,-2.656934263,328,-2.65435332,328,-2.560904036,327,-2.673241984,329,340
ALABAMA ST.,-2.815355473,332,-2.81320638,332,-2.726855251,331,-2.826432575,332,337
ALBANY,-1.521898476,267,-1.519686357,267,-1.436656573,267,-1.534857407,267,268
ALCORN ST.,-2.072693695,306,-2.07028517,306,-1.980121464,306,-2.087016591,307,324
AMERICAN,-0.735529567,216,-0.733237165,216,-0.652461461,217,-0.751013985,215,197
APP. ST.,0.090710883,160,0.094707066,160,0.210448251,161,0.055572294,160,181
ARIZONA,2.981361737,42,2.990629377,42,3.198920821,42,2.879749642,42,14
ARIZONA ST.,3.104356479,37,3.113824516,37,3.325276606,37,3.000142156,37,54
ARK.-PINE BLUFF,-4.52518045,348,-4.52547662,348,-4.481825221,348,-4.506038031,348,348
ARKANSAS,2.530162542,62,2.539087132,62,2.740337977,61,2.432745471,62,43
ARKANSAS ST.,-0.446822409,195,-0.443092916,195,-0.331559553,194,-0.478417234,195,202
ARMY,-1.228062141,248,-1.225676534,248,-1.140783637,248,-1.24377381,248,266
AUBURN,3.748499052,19,3.757375263,19,3.957312722,19,3.651519248,19,27
AUSTIN PEAY,-0.207491394,180,-0.203769103,180,-0.092822154,180,-0.239086734,180,163
BALL ST.,0.800759056,122,0.805968172,122,0.941017511,123,0.750003037,122,112
BAYLOR,5.941861478,3,5.956274338,3,6.265240336,3,5.780260457,3,5
BELMONT,0.943667817,115,0.947828573,115,1.065317658,117,0.905896205,115,101
BETHUNE-COOK.,-1.310264053,253,-1.307705506,253,-1.215488257,253,-1.326874734,253,286
BINGHAMTON,-2.466663697,322,-2.464720978,322,-2.384863485,322,-2.47557483,322,332
BOISE ST.,1.558954848,101,1.56519534,101,1.719796187,101,1.495089717,101,90
BOSTON COLLEGE,1.860834089,91,1.869592309,91,2.067696079,90,1.765360841,91,157
BOSTON U.,-0.458216023,196,-0.455456299,196,-0.364827863,198,-0.478618633,196,160
BOWLING GREEN,1.305169519,106,1.310358442,106,1.444998725,106,1.254615671,106,159
BRADLEY,1.012781468,113,1.017882238,113,1.152689597,113,0.963374829,113,102
BROWN,-0.966982962,227,-0.965288496,227,-0.89165804,231,-0.973482636,227,225
BRYANT,-1.683161603,281,-1.681114433,281,-1.601619055,282,-1.694141196,281,242
BUCKNELL,-1.266758061,250,-1.264452159,250,-1.180426644,250,-1.281343182,250,239
BUFFALO,1.176514219,109,1.181514236,110,1.31276723,110,1.128450017,109,146
BUTLER,4.012025106,13,4.022798246,13,4.256750828,13,3.891343157,13,19
BYU,4.307806457,8,4.319930266,8,4.581425096,8,4.172046399,8,9
C. MICHIGAN,-0.139823379,171,-0.134998935,171,-0.006179267,171,-0.185437712,174,198
CAL BAPTIST,-0.531548818,201,-0.528794577,201,-0.431193132,203,-0.550764639,201,200
CAL POLY,-2.239294656,313,-2.236653289,313,-2.141859981,312,-2.256934243,314,323
CAL-BAKER.,-1.785022727,291,-1.782806937,291,-1.692779145,290,-1.797487005,291,283
CALIFORNIA,1.727091513,92,1.735253862,92,1.924311681,93,1.639393298,93,139
CAMPBELL,-1.821969678,293,-1.819877927,293,-1.733898615,293,-1.832305812,293,258
CANISIUS,-1.740145916,285,-1.738243578,285,-1.660358282,286,-1.749186129,284,253
CCSU,-3.889037171,343,-3.888169205,343,-3.82871862,343,-3.885046328,343,347
CENT. ARKANSAS,-2.059704479,305,-2.057320451,305,-1.968797438,305,-2.073502615,305,315
CHARLESTON,0.520431442,141,0.525064292,141,0.648928964,141,0.47643183,141,152
CHARLESTON SO.,-1.94933955,300,-1.947113973,300,-1.859698357,301,-1.961421721,300,316
CHARLOTTE,0.180092702,155,0.183913044,155,0.294283144,155,0.146922632,155,176
CHATTANOOGA,0.340227886,150,0.344929938,150,0.47314434,150,0.296289039,150,153
CHICAGO ST.,-4.874941006,349,-4.879182743,349,-4.899005706,349,-4.816769682,349,353
CINCINNATI,2.857563636,49,2.866969066,49,3.076944255,49,2.754101358,49,51
CLEMSON,1.97725628,88,1.985929067,88,2.18284774,88,1.882966698,88,81
CLEV. ST.,-1.140003547,240,-1.136272116,240,-1.02582951,238,-1.17171591,241,304
COASTAL CAROLINA,-0.215303956,181,-0.211489088,181,-0.098831822,181,-0.248072869,181,188
COLGATE,0.668800384,131,0.6723508,132,0.777519021,134,0.638145582,131,121
COLORADO,3.049894326,38,3.058916356,38,3.262535974,38,2.951213312,38,25
COLORADO ST.,1.408118731,104,1.413994102,104,1.562420892,105,1.348880764,104,106
COLUMBIA,-2.666663817,329,-2.664947675,329,-2.589668461,329,-2.672973099,328,317
CONNECTICUT,2.348977982,71,2.357765339,71,2.55639416,71,2.253345217,71,60
COPPIN ST.,-2.324928137,317,-2.322941822,317,-2.242497504,317,-2.33451699,317,322
CORNELL,-2.862453634,334,-2.860765649,334,-2.785818339,334,-2.868280224,333,293
CREIGHTON,4.526567091,6,4.537601904,6,4.776359805,6,4.402703813,6,11
CSFULLERTON,-0.941388143,226,-0.937598438,226,-0.823928336,222,-0.973609187,228,261
CSNORTHRIDGE,-0.227628994,182,-0.22354277,182,-0.105519091,182,-0.263836144,182,233
DARTMOUTH,-1.619494197,274,-1.617576118,274,-1.539511024,274,-1.628607843,274,211
DAVIDSON,1.402924664,105,1.409607467,105,1.571780279,104,1.333391279,105,75
DAYTON,5.457688813,5,5.470851016,5,5.755962863,5,5.311220973,5,3
DELAWARE,0.427600776,145,0.431326256,145,0.537558923,145,0.394380621,145,180
DELAWARE ST.,-5.123914923,350,-5.130099857,350,-5.208161022,350,-5.03895335,350,345
DENVER,-2.136539455,309,-2.132920458,309,-2.022494126,309,-2.166919532,309,326
DEPAUL,2.731324122,53,2.741962072,53,2.973391325,52,2.612206774,54,86
DETROIT,-1.731080789,284,-1.727462933,284,-1.618515273,284,-1.761103065,286,307
DRAKE,0.406569859,146,0.410966852,146,0.534252939,146,0.366052555,146,156
DREXEL,-0.626606199,205,-0.623198862,205,-0.51904596,205,-0.654644503,206,237
DUKE,3.963672202,14,3.973314147,14,4.185854379,14,3.856525636,15,6
