School,glm_logit,brglm_logit,glm_cauchit,brglm_cauchit,glm_logit_rank,brglm_logit_rank,brglm_cauchit_rank,glm_cauchit_rank,NET
KANSAS,4.877014346,5.937945411,6.421522773,5.937945411,1,2,2,2,2
BAYLOR,4.305298076,5.780260457,6.265240336,5.780260457,3,3,3,3,5
GONZAGA,4.153158564,5.358648413,5.779419989,5.358648413,4,4,4,4,1
DAYTON,4.378375253,5.311220973,5.755962863,5.311220973,2,5,5,5,3
CREIGHTON,3.61341887,4.402703813,4.776359805,4.402703813,7,6,6,6,11
VILLANOVA,3.725176668,4.275881186,4.643916413,4.275881186,6,7,7,7,13
BYU,2.920537845,4.172046399,4.581425096,4.172046399,19,8,8,8,9
OREGON,3.237669524,3.989167317,4.337384669,3.989167317,12,10,10,11,12
KENTUCKY,2.963860048,3.935150949,4.267006447,3.935150949,18,12,12,12,21
BUTLER,3.219108602,3.891343157,4.256750828,3.891343157,13,13,13,13,19
DUKE,3.320444448,3.856525636,4.185854379,3.856525636,9,15,15,14,6
PROVIDENCE,2.52261858,3.792517145,4.174269617,3.792517145,34,16,16,16,37
MARYLAND,3.416814592,3.757837452,4.105755968,3.757837452,8,17,17,17,18
AUBURN,3.013106874,3.651519248,3.957312722,3.651519248,16,19,19,19,27
WISCONSIN,2.799202676,3.523597752,3.885721698,3.523597752,22,20,20,20,23
ETSU,2.373251179,3.512903972,3.848908653,3.512903972,41,22,22,21,36
VIRGINIA,2.985158758,3.51976713,3.839967628,3.51976713,17,21,21,22,44
LOUISVILLE,3.106496001,3.48417132,3.803307737,3.48417132,15,23,23,23,8
MARQUETTE,2.651016376,3.370266148,3.730017701,3.370266148,28,25,25,25,26
IOWA,2.684111791,3.321288681,3.667505518,3.321288681,24,28,28,28,34
XAVIER,2.581884218,3.298123128,3.655902304,3.298123128,31,29,29,29,47
ILLINOIS,2.670169402,3.254754354,3.604335179,3.254754354,26,30,30,30,39
RUTGERS,2.547235452,3.126320682,3.475263607,3.126320682,33,32,32,32,30
MICHIGAN,2.676311171,3.092529788,3.436076177,3.092529788,25,33,33,33,24
OKLAHOMA,2.578080114,3.056181997,3.382183857,3.056181997,32,34,34,34,46
USC,2.588210384,3.026177878,3.346410757,3.026177878,30,35,35,35,45
LSU,2.360465308,3.021911996,3.338896958,3.021911996,42,36,36,36,28
COLORADO,2.651949494,2.951213312,3.262535974,2.951213312,27,38,38,38,25
FLORIDA,2.282023732,2.935231553,3.256648647,2.935231553,46,39,39,39,29
HOUSTON,2.504977181,2.93232353,3.243530682,2.93232353,35,40,40,40,20
TEXAS,2.431814363,2.882503778,3.207731293,2.882503778,38,41,41,41,70
ARIZONA,2.480769235,2.879749642,3.198920821,2.879749642,36,42,42,42,14
UCLA,2.114737475,2.850525731,3.177678352,2.850525731,52,43,43,43,76
INDIANA,2.424849063,2.836593446,3.175672199,2.836593446,39,44,44,44,56
GEORGETOWN,2.049192072,2.820641367,3.174818063,2.820641367,55,45,45,45,65
PURDUE,2.149403977,2.784269258,3.128972232,2.784269258,51,47,47,46,32
CINCINNATI,2.087600268,2.754101358,3.076944255,2.754101358,53,49,49,49,51
DEPAUL,1.806991536,2.612206774,2.973391325,2.612206774,66,54,54,52,86
RICHMOND,2.269748529,2.686002481,2.942978907,2.686002481,47,51,51,54,38
STANFORD,2.296378734,2.591831221,2.896608674,2.591831221,45,55,55,55,33
UTAH,1.89642559,2.455059934,2.768700494,2.455059934,62,61,61,60,85
ARKANSAS,1.905033983,2.432745471,2.740337977,2.432745471,61,62,62,61,43
MINNESOTA,1.908707419,2.355145862,2.688507339,2.355145862,60,64,64,63,42
MEMPHIS,1.982850356,2.374698881,2.67145697,2.374698881,59,63,63,64,59
TENNESSEE,1.841564293,2.339934696,2.643044404,2.339934696,64,65,65,65,63
TULSA,1.674773682,2.299376072,2.606316594,2.299376072,75,67,67,67,78
HARVARD,1.20053659,2.269836114,2.59269541,2.269836114,101,69,69,69,107
CONNECTICUT,1.688251699,2.253345217,2.55639416,2.253345217,72,71,71,71,60
SYRACUSE,1.779554591,2.189470062,2.495219005,2.189470062,69,74,74,73,61
LIBERTY,1.226001968,2.219100705,2.477660991,2.219100705,97,72,72,74,67
ALABAMA,1.591191365,2.167920907,2.465868575,2.167920907,77,75,75,75,55
GEORGIA,1.287969012,1.980971008,2.292646698,1.980971008,94,82,82,78,91
MISSOURI,1.367934358,1.985812826,2.291613276,1.985812826,88,79,79,79,84
TCU,1.804522013,1.98106602,2.28053573,1.98106602,67,81,81,80,93
DUQUESNE,1.488409149,1.984538439,2.228486863,1.984538439,81,80,80,83,94
SMU,1.354796259,1.916589609,2.213621957,1.916589609,89,86,86,86,88
WASHINGTON,1.679757793,1.918599803,2.205559479,1.918599803,74,85,85,87,58
CLEMSON,1.650659853,1.882966698,2.18284774,1.882966698,76,88,88,88,81
PITTSBURGH,1.374347329,1.771165997,2.067692891,1.771165997,87,90,90,91,109
CALIFORNIA,1.270719559,1.639393298,1.924311681,1.639393298,95,93,93,93,139
FURMAN,1.461973141,1.644130842,1.86880778,1.644130842,82,92,92,95,74
YALE,1.376616601,1.579854524,1.840655399,1.579854524,86,98,98,96,69
NEVADA,1.32824832,1.614434909,1.836763001,1.614434909,91,96,96,97,89
AKRON,1.500016946,1.621782182,1.826014532,1.621782182,80,95,95,98,73
TEMPLE,0.959361026,1.530729871,1.824825026,1.530729871,108,100,100,99,116
UNCG,1.208603102,1.574611422,1.787340637,1.574611422,99,99,99,100,82
VCU,1.33469309,1.455017281,1.673999545,1.455017281,90,102,102,102,68
UCF,0.961650485,1.35151686,1.622205132,1.35151686,107,103,103,103,124
DAVIDSON,0.989760065,1.333391279,1.571780279,1.333391279,104,105,105,104,75
VERMONT,1.042669129,1.133266822,1.329909216,1.133266822,103,108,108,109,79
BUFFALO,0.85566892,1.128450017,1.31276723,1.128450017,116,109,109,110,146
VANDERBILT,0.484732397,1.016461897,1.281043741,1.016461897,135,112,112,111,142
BRADLEY,0.934386883,0.963374829,1.152689597,0.963374829,110,113,113,113,102
MASSACHUSETTS,0.709560189,0.871162884,1.083710144,0.871162884,124,117,117,115,132
BELMONT,0.6570885,0.905896205,1.065317658,0.905896205,126,115,115,117,101
UNLV,0.986019283,0.834744812,1.043086574,0.834744812,105,119,119,118,108
PEPPERDINE,0.5240104,0.738577672,0.94651857,0.738577672,133,123,123,121,131
HOFSTRA,0.805373179,0.669978123,0.816279779,0.669978123,121,128,128,129,118
COLGATE,0.563365317,0.638145582,0.777519021,0.638145582,130,131,131,134,121
CHARLESTON,0.29935356,0.47643183,0.648928964,0.47643183,149,141,141,141,152
VALPARAISO,0.421120876,0.441502153,0.622660928,0.441502153,141,142,142,142,138
OHIO,0.092811043,0.402575864,0.590412045,0.402575864,162,144,144,143,158
DELAWARE,0.472879616,0.394380621,0.537558923,0.394380621,138,145,145,145,180
DRAKE,0.474141864,0.366052555,0.534252939,0.366052555,137,146,146,146,156
CHATTANOOGA,0.301103079,0.296289039,0.47314434,0.296289039,148,150,150,150,153
TOWSON,0.315670714,0.250565921,0.411588824,0.250565921,147,152,152,152,154
TOLEDO,-0.002940357,0.172337655,0.350161552,0.172337655,166,153,153,153,137
PACIFIC,0.283884714,0.163875956,0.319953143,0.163875956,150,154,154,154,110
CHARLOTTE,-0.025099218,0.146922632,0.294283144,0.146922632,167,155,155,155,176
MONTANA,0.242145556,0.091948826,0.250388558,0.091948826,153,156,156,157,141
TULANE,0.155749952,0.029789962,0.213110311,0.029789962,157,163,163,160,168
FIU,-0.10509005,0.042205712,0.19498799,0.042205712,174,162,162,163,170
UCSB,0.122557573,-0.059076519,0.091161125,-0.059076519,158,166,166,166,177
HAWAII,-0.061951829,-0.098651478,0.056650729,-0.098651478,170,168,168,167,215
SIENA,-0.039122731,-0.061129371,0.04460372,-0.061129371,169,167,167,168,151
MERCER,-0.302206877,-0.180316314,-0.014009775,-0.180316314,192,171,171,171,187
WOFFORD,0.111893959,-0.187836402,-0.033885072,-0.187836402,160,174,174,172,155
NORTHEASTERN,-0.132605266,-0.184274147,-0.036937309,-0.184274147,176,172,172,173,128
MARSHALL,-0.119650127,-0.196727645,-0.0473549,-0.196727645,175,175,175,175,172
CSNORTHRIDGE,-0.282024282,-0.263836144,-0.105519091,-0.263836144,190,181,181,181,233
UAB,-0.27481233,-0.280602067,-0.134538264,-0.280602067,189,182,182,182,205
FAU,-0.534413726,-0.37227904,-0.221151214,-0.37227904,208,186,186,187,193
WINTHROP,0.023223351,-0.39411659,-0.273101996,-0.39411659,165,188,188,189,148
UTEP,-0.249369425,-0.474790275,-0.336646618,-0.474790275,186,193,193,194,195
RADFORD,-0.097032795,-0.480442907,-0.362844235,-0.480442907,173,196,196,196,183
PRINCETON,-0.15818363,-0.488858825,-0.39289151,-0.488858825,180,197,197,198,166
LOUISIANA,-0.527166311,-0.56699305,-0.417471645,-0.56699305,207,201,201,199,230
PORTLAND,-0.558191447,-0.587011337,-0.418209054,-0.587011337,212,202,202,200,275
LAFAYETTE,-0.376906397,-0.615937063,-0.518524576,-0.615937063,197,203,203,203,223
DREXEL,-0.589077645,-0.654644503,-0.51904596,-0.654644503,216,205,205,204,237
OAKLAND,-0.96052412,-0.708813737,-0.555194467,-0.708813737,237,211,211,207,222
RIDER,-0.376115959,-0.656928923,-0.556587066,-0.656928923,196,206,206,209,185
MONMOUTH,-0.470235548,-0.678164799,-0.574568035,-0.678164799,204,207,207,211,209
NORTHWESTERN,0.333792671,-0.679131074,-0.575678741,-0.679131074,145,208,208,212,164
MERRIMACK,-0.473189723,-0.726856396,-0.620350342,-0.726856396,205,213,213,214,216
AMERICAN,-0.642324765,-0.751013985,-0.652461461,-0.751013985,218,214,214,216,197
RICE,-0.663643665,-0.912933471,-0.78507753,-0.912933471,221,220,220,219,214
CSFULLERTON,-0.893473609,-0.973609187,-0.823928336,-0.973609187,231,227,227,221,261
PENN,0.468002289,-0.911231766,-0.845242159,-0.911231766,139,219,219,225,149
UMKC,-0.821384298,-0.969130074,-0.883412623,-0.969130074,227,224,224,227,252
ELON,-1.007194988,-1.020023967,-0.885194889,-1.020023967,241,231,231,228,259
BROWN,-0.146493281,-0.973482636,-0.89165804,-0.973482636,177,226,226,230,225
WYOMING,-0.779508944,-1.060614174,-0.902879999,-1.060614174,226,234,234,231,271
SEATTLE,-0.937371626,-1.144106567,-1.035703153,-1.144106567,232,237,237,238,226
NEBRASKA,-0.072611934,-1.151414627,-1.04151697,-1.151414627,171,238,238,239,199
LMU,-1.328404955,-1.225287533,-1.059255253,-1.225287533,267,244,244,241,207
PFW,-1.306742376,-1.197900033,-1.061976097,-1.197900033,266,242,242,242,282
NAVY,-1.097660667,-1.225313087,-1.123381555,-1.225313087,249,245,245,246,243
ARMY,-1.062370964,-1.24377381,-1.140783637,-1.24377381,246,247,247,247,266
BUCKNELL,-1.022650762,-1.281343182,-1.180426644,-1.281343182,242,249,249,249,239
QUINNIPIAC,-0.959048181,-1.284730378,-1.189225466,-1.284730378,236,250,250,250,245
UMBC,-1.031214834,-1.310239043,-1.215216553,-1.310239043,243,251,251,251,236
HARTFORD,-0.941702096,-1.356126852,-1.256266006,-1.356126852,233,255,255,256,246
IONA,-1.257222536,-1.368996675,-1.271461843,-1.368996675,260,256,256,257,224
LBSU,-0.97241181,-1.404916136,-1.278560701,-1.404916136,238,258,258,258,306
MANHATTAN,-1.346865162,-1.421836746,-1.32146953,-1.421836746,268,260,260,260,269
MILWAUKEE,-1.414019014,-1.460272661,-1.322198025,-1.460272661,276,262,262,261,262
LEHIGH,-1.552442552,-1.500474091,-1.398649974,-1.500474091,288,263,263,263,288
